alpha,conflict,beta,error,addrstreet,amenity,building,denomination,name,religion,tourism,nameen,opening_hours,wheelchair,wikidata,wikipedia,buildinglevels,roofshape,addrhousenumber,addrpostcode,namezh,service_times,namede,source,alt_name,namefr,nameru,importance,historic,nameit,addrcity,loc_name,short_name,namela,community,communityen,communityfr,communitygender,communityit,note,old_name,addrcountry,website,description,office,operator,residential,rooflevels,architect,refnolli,shop,historiccivilization,historicperiod,alt_namela,official_namela,ruins,layer,descriptionhu,namehu,alt_nameru,level,nameca,namecs,nameel,namees,nameet,namehi,namehr,nameko,namemk,namenl,namepl,namesk,namesl,indoor,room,start_date,architectwikidata,architectwikipedia,buildingarchitecture,wikimedia_commons,buildingcolour,buildingmaterial,height,roofmaterial,alt_namenl,start,alt_nameit,barrier,fixme,information,monasterytype,healthcare,fax,phone,dispensing,accesscovid19,opening_hourscovid19,drive_through,brand,amperage,voltage,brandwikidata,brandwikipedia,capacity,operatorwikidata,operatorwikipedia,refenelcode,refenelserial_number,email,outdoor_seating,deliverycovid19,takeawaycovid19,contactphone,fountain,image,check_date,disused,descriptionde,access,fee,official_name,internet_access,stars,internet_accessfee,addrfloor,smoking,cuisine,rooms,addrsuburb,contactemail,contactwebsite,paymentamerican_express,paymentcoins,paymentdiners_club,paymentjcb,paymentmaestro,paymentmastercard,paymentvisa,contactfax,air_conditioning,addrunit,paymentcash,paymentcredit_cards,paymentvisa_debit,paymentvisa_electron,bar,contactfacebook,paymentbitcoincash,refvatin,contactinstagram,opening_date,awardhotelstars,spa,bicycleconditional,network,railway,bicycle,platforms,public_transport,station,subway,bench,bin,bus,highway,internet_accessoperator,internet_accessssid,lit,networkwikidata,networkwikipedia,ref,shelter,tactile_paving,tram,namehe,nameja,namelt,nameuk,place,servicebicyclerental,inscription,namept,namesv,lanes,oneway,parkinglaneboth,surface,tunnel,covered,area,artwork_type,direction,memorial,min_height,subjectwikidata,artist_name,artistwikidata,colour,material,traffic_signals,crossing,traffic_signalsdirection,kerb,crossing_ref,button_operated,traffic_signalssound,traffic_signalsvibration,crossingisland,check_datecrossing,kerbleft,kerbright,supervised,wheelchairdescriptionen,trolleybus,route_ref,handrail,incline,inclineforward,ramp,step_count,foot,is_incity,maxspeed,sourcemaxspeed,sidewalk,lanespsvbackward,emergency,motor_vehicle,onewaypsv,psv,taxi,tourist_bus,cyclewayboth,maxspeedtype,check_datelit,odbl,lanespsv,lanespsvforward,busway,onewaybus,parkinglaneright,noname,alt_namecs,parkinglaneleft,hgv,accessconditional,motorcar,footway,service,colonnade,check_datetactile_paving,parkingconditionboth,horse,Unnamed: 107
building,building historic,church,yes,,place_of_worship,church,catholic,Santissimi Nomi di GesÃ¹ e Maria in Via Lata,christian,,,,,Q3669324,it:Chiesa di GesÃ¹ e Maria (Roma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building historic,church,yes,,place_of_worship,church,catholic,Sant'Atanasio,christian,,,,,Q242053,it:Chiesa di Sant'Atanasio (Roma),,,,,,,,"Bing, Local knowledge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building historic,church,yes,,place_of_worship,church,catholic,Chiesa della Santissima TrinitÃ  degli Spagnoli,christian,,,,,Q512703,it:Chiesa della Santissima TrinitÃ  degli Spagnoli (Roma),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building historic,church,yes,,place_of_worship,church,catholic,Basilica di San Lorenzo in Lucina,christian,,,,limited,Q1515316,it:Basilica di San Lorenzo in Lucina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building historic,church,yes,,place_of_worship,church,catholic,Santa Maria Maddalena in Campo Marzio,christian,attraction,,,,Q1817386,it:Chiesa di Santa Maria Maddalena (Roma),,,,,,,,,,Eglise Sainte-Marie-Madeleine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building historic,church,yes,,place_of_worship,church,catholic,Chiesa di Sant'Isidoro alle Terme,christian,,,,,Q3672850,it:Chiesa di Sant'Isidoro alle Terme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building historic,church,yes,,place_of_worship,church,catholic,Chiesa di Sant'Andrea al Quirinale,christian,,,,no,Q1354667,it:Chiesa di Sant'Andrea al Quirinale,,,,,å¥éç´é·å®å¾·åæå ,,,,,,Ð¦ÐµÑÐºÐ¾Ð²Ñ Ð¡Ð°Ð½Ñ-ÐÐ½Ð´ÑÐµÐ° Ð°Ð»Ñ ÐÐ²Ð¸ÑÐ¸Ð½Ð°Ð»Ðµ,,church,Sant'Andrea al Quirinale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building historic,church,yes,,place_of_worship,church,catholic,Chiesa di San Macuto,christian,,,,,Q676902,it:Chiesa di San Macuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building historic,church,yes,,place_of_worship,church,catholic,Chiesa di Santa Maria in Aquiro,christian,,,,,Q1552500,it:Chiesa di Santa Maria in Aquiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building historic,church,yes,,place_of_worship,church,catholic,Santi Bartolomeo e Alessandro a Piazza Colonna,christian,,,,,Q1106186,it:Chiesa dei Santi Bartolomeo e Alessandro dei Bergamaschi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
