alpha,conflict,beta,error,addrcity,addrcountry,addrhousename,addrhousenumber,addrpostcode,addrstreet,amenity,building,name,ref,designation,int_name,buildinglevels,buildinglevelsunderground,namees,tourism,rooflevels,roofshape,description,start_datebuilding,leisure,note,phone,sport,website,buildinguse,brand,brandwikidata,brandwikipedia,fueldiesel,fuelGTL_diesel,fueloctane_95,fueloctane_98,opening_hours,source,sourcedate,alt_name,shop,product,office,studio,rental,repair,sale,wheelchair,construction,operator,start_date,landuse,email,fax,stars,addrprovince,nameen,smoking,wikipedia,service,architect,nameca,namezh,official_name,wikidata,toiletswheelchair,proposed,self_service,addrfull,contactphone,dispensing,healthcare,namefr,old_name,contactemail,emergency,internet_access,internet_accessfee,rooms,ele,highway,traffic_signals,crossing,traffic_signalsdirection,tactile_paving,button_operated,traffic_signalsvibration,traffic_signalssound,bicycle,crossingisland,bench,bus,passenger_information_display,public_transport,route_ref,shelter,bin,network,lanes,maxspeed,oneway,surface,sidewalk,parkinglaneboth,width,lit,tourist_bus,access,cycleway,parkinglaneleft,parkinglaneright,crossing_ref,bridge,layer,maxspeedtype,short_name,onewaybicycle,motor_vehicle,lanesbackward,lanesforward,handrail,incline,indoor,level
building,highway building landuse,residential,no,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,highway building landuse,residential,no,,,,,,,,residential,Motocard Valencia 511,,,,,,Motocard Valencia 511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,,,,,,,,commercial,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,commercial,yes,,,,423I,8013.0,Carrer de Mallorca,,commercial,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,tourism,hotel,yes,,,,,,,,hotel,Hotel Barcelona 1882,,,,,,,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,retail,yes,,,,,,,,retail,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,retail,yes,,,,,,,,retail,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,retail,yes,,,,,,,,retail,,,,,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,retail,yes,,,,340,8025.0,Carrer de Sardenya,,retail,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
building,building,retail,yes,,,,,,,,retail,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
